"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","threshold","trial_number","weight_decay","Epoch","Test F1-score","Test loss","Train F1-score","Train loss"
"11/06-19:48:33 - Trial_155","crashed","-","","","2024-11-07T04:07:58.000Z","1","","false","160","35","384","0.04262261378343403","1.4822700930662922","Nadam","0.3991941266191712","","0.005702432802329179","","","","",""
"11/06-19:48:33 - Trial_154","finished","-","","","2024-11-07T04:06:49.000Z","63","","false","192","39","384","0.06853190225476095","1.3418906647537965","SGD","0.4133191278203237","","0.0003606522007906368","39","0.6581695714568727","0.6877606327717121","0.7615772919645356","0.3887975304513364"
"11/06-19:48:33 - Trial_153","finished","-","","","2024-11-07T04:05:40.000Z","63","","false","192","38","384","0.06451027998744782","1.1783658382376363","SGD","0.4179981505649842","","0.0009160776688957248","38","0.7205743405996792","0.6452100689594562","0.8963481982908862","0.30260210746043437"
"11/06-19:48:33 - Trial_152","finished","-","","","2024-11-07T04:04:34.000Z","60","","false","192","30","512","0.05225455035062403","1.3010480680296503","SGD","0.48030899618702705","","0.0006936005028928921","30","0.6726981842690525","0.7914016200945928","0.7910734180869516","0.4549153358549685"
"11/06-19:48:33 - Trial_151","finished","-","","","2024-11-07T04:03:23.000Z","65","","false","192","41","512","0.05015197112923784","1.6209196235015078","SGD","0.4396641292212462","","0.0027516355736971615","41","0.7130926752594853","0.5625186975185688","0.8787046549408082","0.28999740610251556"
"11/06-19:48:33 - Trial_150","finished","-","","","2024-11-07T04:02:06.000Z","71","","true","192","37","384","0.03864413641872719","1.3998469924513504","Adadelta","0.5003526114371881","","0.00333620258112368","37","0.6989462303420825","0.6476027827996474","0.8813940496826802","0.3848035488579724"
"11/06-19:48:33 - Trial_149","finished","-","","","2024-11-07T04:00:58.000Z","62","","false","224","35","448","0.09486724945398246","1.7353432061523857","SGD","0.5849061910219953","","0.004171033531352353","35","0.6462386099821984","0.5525529032403772","0.7676171486408014","0.33723644353449345"
"11/06-19:48:33 - Trial_148","finished","-","","","2024-11-07T03:59:50.000Z","62","","false","224","33","448","0.07085138673164461","1.4223780605175809","Adam","0.6281463903769278","","0.005184138832191739","33","0.4319826338639653","0.7366791421716864","0.430691700757684","0.7438518367707729"
"11/06-19:48:33 - Trial_147","finished","-","","","2024-11-07T03:58:38.000Z","65","","false","192","39","448","0.05899052307748584","1.5549918757792796","SGD","0.5264909053789047","","0.00376309494707028","39","0.6162036315940485","0.7988631679461553","0.6942616404963043","0.45512537698487976"
"11/06-19:48:33 - Trial_146","finished","-","","","2024-11-07T03:57:22.000Z","70","","false","160","36","448","0.0787609442455559","1.4747809156821623","Adadelta","0.6853271078588274","","0.004548744499833395","36","0.6508520700358453","0.6988378326098125","0.8746093982958689","0.2311163812875748"
"11/06-19:48:33 - Trial_145","finished","-","","","2024-11-07T03:56:13.000Z","62","","false","192","35","448","0.0761824677156522","1.478211080527922","SGD","0.5258266024204916","","0.0040217642705157024","35","0.7150291118573057","0.6187808467791631","0.8689749445276898","0.31739228561117844"
"11/06-19:48:33 - Trial_144","finished","-","","","2024-11-07T03:55:05.000Z","62","","false","224","36","512","0.05686117742100453","1.413929781116862","SGD","0.4363891437298183","","0.003580267978949429","36","0.7184848907142822","0.5650937882336703","0.8266787658802177","0.4140934804454446"
"11/06-19:48:33 - Trial_143","finished","-","","","2024-11-07T03:53:56.000Z","62","","false","192","36","512","0.07560936846077855","1.419505062567292","SGD","0.4812604728170822","","0.005489490064483459","36","0.721069765553089","0.5981333324542413","0.862786014909376","0.33539987254787135"
"11/06-19:48:33 - Trial_142","finished","-","","","2024-11-07T03:52:43.000Z","67","","false","192","45","512","0.06614840483731199","2.1647352882459514","SGD","0.4654911709165144","","0.00666613256852296","45","0.7099020364235191","0.41649144429426926","0.8641270000418684","0.26085669366089076"
"11/06-19:48:33 - Trial_141","finished","-","","","2024-11-07T03:51:30.000Z","67","","false","192","43","512","0.08158962124555487","2.330375444199523","SGD","0.42225616169444535","","0.008666932946867581","43","0.6874655167575635","0.4607070982456207","0.8350902898574941","0.31933392544050476"
"11/06-19:48:33 - Trial_140","finished","-","","","2024-11-07T03:50:22.000Z","61","","false","192","34","512","0.012807507312813417","3.9285406750732577","SGD","0.31540130696003055","","0.0010351390802916926","34","0.6966493907983269","0.4288455431277935","0.7418648243750288","0.4056367874145508"
"11/06-19:48:33 - Trial_139","finished","-","","","2024-11-07T03:49:08.000Z","68","","false","256","38","512","0.04920548763464847","2.38574730431505","Adadelta","0.47655103570419743","","0.000513452234401507","38","0.6875356435390048","0.46475390493869784","0.8208554583902454","0.30423910702977863"
"11/06-19:48:33 - Trial_138","finished","-","","","2024-11-07T03:48:02.000Z","60","","false","192","30","512","0.00007301472984447728","1.083546504925625","SGD","0.4467028319541647","","0.0017323295318944691","30","0.4520218007152679","0.8376959837399997","0.4458359914938862","0.8393142271686245"
"11/06-19:48:33 - Trial_137","finished","-","","","2024-11-07T03:46:42.000Z","74","","false","160","52","320","0.03872448967196021","2.2154994429533916","Adadelta","0.5434616921821558","","0.0008289130538219232","52","0.6885979825456194","0.466685559352239","0.8775501420813407","0.2464270376496845"
"11/06-19:48:33 - Trial_136","finished","-","","","2024-11-07T03:45:35.000Z","60","","false","224","40","64","0.021032463097062665","1.2865307206967098","Adagrad","0.24826332794088413","","0.0013678512500718315","40","0.6901222727067466","0.90851074999029","0.9506632801825928","0.16876967018470168"
"11/06-19:48:33 - Trial_135","finished","-","","","2024-11-07T03:44:19.000Z","70","","false","224","48","512","0.03137515633608718","1.2089641276990408","SGD","0.5075418338973539","","0.000618288703880329","48","0.7055040686920373","0.6500253623182123","0.8709827413802834","0.3478574906475842"
"11/06-19:48:33 - Trial_134","finished","-","","","2024-11-07T03:43:11.000Z","62","","false","160","32","512","0.0575446471323809","1.3400226264541448","SGD","0.4051155982833064","","0.0007516838692047355","32","0.6992559925679717","0.6532196879386902","0.8322534041817206","0.31445649531152514"
"11/06-19:48:33 - Trial_133","finished","-","","","2024-11-07T03:42:01.000Z","64","","false","192","36","512","0.02542674377694091","1.1354572407943349","SGD","0.4919183544163898","","0.0011036807458925026","36","0.7084098967828996","0.6664149784124814","0.8306685744311443","0.4055144400209994"
"11/06-19:48:33 - Trial_132","finished","-","","","2024-11-07T03:40:56.000Z","59","","false","224","28","512","0.04335852540586479","2.444079053768881","SGD","0.4631785415448385","","0.0004643632015587153","28","0.696868558399983","0.4300405599854209","0.8126844652442562","0.31675379537045956"
"11/06-19:48:33 - Trial_131","finished","-","","","2024-11-07T03:39:50.000Z","60","","false","192","34","512","0.035195420847511115","2.285503990989464","SGD","0.4332103648651533","","0.002557012540956072","34","0.676051602975356","0.44320823825322664","0.7857151268854095","0.31891391486734955"
"11/06-19:48:33 - Trial_130","finished","-","","","2024-11-07T03:38:25.000Z","79","","false","192","50","512","0.09650398823113822","2.735254532160261","Adadelta","0.450417785953917","","0.000907814124953786","50","0.6856837068748426","0.5710713359025809","0.9771180755223308","0.1028545800898526"
"11/06-19:48:33 - Trial_129","finished","-","","","2024-11-07T03:37:10.000Z","69","","true","160","42","448","0.001623435235582817","2.5927892935541945","RMSprop","0.3689406414069888","","0.0006648424069176592","42","0.711910740360228","0.7519804875055949","0.99844309244216","0.0349805408053928"
"11/06-19:48:33 - Trial_128","finished","-","","","2024-11-07T03:35:52.000Z","71","","false","192","55","448","0.04823665361694519","2.3327672078016564","SGD","0.4313817051412404","","0.0009855861215295775","55","0.6783772293517879","0.5386227483932788","0.8321952508103853","0.28268197863488587"
"11/06-19:48:33 - Trial_127","finished","-","","","2024-11-07T03:34:35.000Z","70","","false","192","37","512","0.07106903976845882","2.5297092507873","Adadelta","0.3960303627000061","","0.000569540608591469","37","0.6984837449644519","0.46758543298794675","0.9037748542157517","0.21666787685574712"
"11/06-19:48:33 - Trial_126","finished","-","","","2024-11-07T03:33:27.000Z","62","","false","192","36","512","0.04553989453683888","2.5569512987042913","SGD","0.4350163930680193","","0.0009878598622341018","36","0.7178760677331462","0.4443423656316904","0.8620248791524425","0.2776145741746232"
"11/06-19:48:33 - Trial_125","finished","-","","","2024-11-07T03:32:19.000Z","61","","false","224","39","256","0.03034287958929723","2.696205452065914","SGD","0.48540182615092736","","0.0008325682616900924","39","0.6702350984440126","0.4710404087196697","0.7562666393273673","0.32368477061390877"
"11/06-19:48:33 - Trial_124","finished","-","","","2024-11-07T03:31:05.000Z","68","","false","160","45","512","0.05593103796792023","2.4780227027999295","SGD","0.344938888279006","","0.001303835704288073","45","0.6622892129140132","0.5145242154598236","0.7842144094524244","0.2841868082682292"
"11/06-19:48:33 - Trial_123","finished","-","","","2024-11-07T03:29:49.000Z","69","","false","192","47","512","0.04032113761315329","2.399463782975559","SGD","0.4203618063321713","","0.0016623172003429102","47","0.704595760135831","0.46025792681253874","0.8687315269053727","0.25350868258927317"
"11/06-19:48:33 - Trial_122","finished","-","","","2024-11-07T03:28:35.000Z","68","","false","192","46","512","0.05638698507071118","2.438087121967574","SGD","0.4270312963372207","","0.0008183990504687979","46","0.7150500060014946","0.4702445841752566","0.904593082024875","0.20735246104163096"
"11/06-19:48:33 - Trial_121","finished","-","","","2024-11-07T03:27:19.000Z","70","","false","192","51","512","0.06536922287007883","1.007411841875927","SGD","0.47050091863651544","","0.003767635578178041","51","0.5159357186489452","1.082361285503094","0.5553703723252648","0.8094439667624396"
"11/06-19:48:33 - Trial_120","finished","-","","","2024-11-07T03:25:53.000Z","79","","false","256","62","512","0.01725803045921845","1.529195449438734","Nadam","0.5135599028760892","","0.0006473499579318469","62","0.7121019576359727","0.7418373495340347","0.9239167476298222","0.31741007949624744"
"11/06-19:48:33 - Trial_119","finished","-","","","2024-11-07T03:24:46.000Z","60","","false","192","25","384","0.02168947600883643","1.2263673400153106","Adadelta","0.3863235832547179","","0.0021247899825462984","25","0.7033821095172059","0.6176961247737591","0.7438984035199695","0.5506317671891805"
"11/06-19:48:33 - Trial_118","finished","-","","","2024-11-07T03:23:29.000Z","71","","false","224","50","512","0.0028304516574211656","1.3745920253367891","SGD","0.2885600252135574","","0.0007723640027923199","50","0.5370753300860828","0.6526102044365623","0.5583555610492877","0.6501402370631695"
"11/06-19:48:33 - Trial_117","finished","-","","","2024-11-07T03:21:59.000Z","84","","false","160","57","512","0.04929196398404074","1.0424880813077249","Adam","0.40249086841253273","","0.0009849800940631291","57","0.6802633430346656","0.8490408182144165","0.7055933532268446","0.7809748113155365"
"11/06-19:48:33 - Trial_116","finished","-","","","2024-11-07T03:20:28.000Z","85","","false","192","58","512","0.028128509926401743","1.1472931668446191","Adadelta","0.44322370846244863","","0.001249585377489488","58","0.7054976346078643","0.6694165789164029","0.8643968567138938","0.35567230308378067"
"11/06-19:48:33 - Trial_115","finished","-","","","2024-11-07T03:19:09.000Z","72","","false","192","51","512","0.0509226892064933","1.1503910361601413","SGD","0.4423606552940506","","0.000943348000742808","51","0.7139052425007009","0.719013681778541","0.9333384224173638","0.22349061353786573"
"11/06-19:48:33 - Trial_114","finished","-","","","2024-11-07T03:18:01.000Z","62","","false","192","32","512","0.03881883405314066","1.231016260753714","SGD","0.4596589236741252","","0.004867669676529918","32","0.7055036681338849","0.6457066490099981","0.836309600624412","0.4132346422285647"
"11/06-19:48:33 - Trial_113","finished","-","","","2024-11-07T03:16:49.000Z","66","","false","224","41","512","0.03268871043415475","1.3018159438877273","SGD","0.4142532111208545","","0.0015587889722287666","41","0.7074728959969007","0.6171497540040449","0.8548623836721616","0.38864097371697426"
"11/06-19:48:33 - Trial_112","finished","-","","","2024-11-07T03:15:33.000Z","70","","false","160","47","512","0.09296809455253788","1.4722722667582635","SGD","0.43037237295395575","","0.0004654404138379361","47","0.7061424960461196","0.6418377935886384","0.960882430212806","0.22407089604271785"
"11/06-19:48:33 - Trial_111","finished","-","","","2024-11-07T03:14:15.000Z","72","","false","192","53","512","0.06235949123695617","1.266071863769131","SGD","0.4907713914806518","","0.0009038031467993316","53","0.7073079791200596","0.8374783213321979","0.9566916333859504","0.16934483397651362"
"11/06-19:48:33 - Trial_110","finished","-","","","2024-11-07T03:13:01.000Z","68","","false","192","47","512","0.061862332365605885","1.2717164417260929","SGD","0.43244630811224183","","0.0009306431904399184","47","0.7206901120808848","0.6049360770445603","0.9068949926041816","0.2875460148663134"
"11/06-19:48:33 - Trial_109","finished","-","","","2024-11-07T03:11:43.000Z","72","","false","224","44","448","0.010051204177908763","2.1116744813757684","Adadelta","0.37446918329070505","","0.007210621029251692","44","0.6856397255276785","0.45735079591924493","0.7025835598465509","0.44843432027846575"
"11/06-19:48:33 - Trial_108","finished","-","","","2024-11-07T03:10:43.000Z","54","","true","192","19","448","0.04436113237021736","1.4251747008676738","SGD","0.3538407261283691","","0.0005359920664335986","19","0.4660383133994443","0.9194596914144664","0.6037232891229403","0.6134382631327655"
"11/06-19:48:33 - Trial_107","finished","-","","","2024-11-07T03:09:34.000Z","62","","false","256","36","512","0.08199108340398517","1.1567348169005205","Adagrad","0.2377030043236049","","0.0029751754311506387","36","0.6987825608683051","0.6946645200252533","0.8877252297184559","0.2287301256188325"
"11/06-19:48:33 - Trial_106","finished","-","","","2024-11-07T03:08:30.000Z","57","","false","224","29","192","0.025453685865762195","2.002264824777067","Adadelta","0.4537940413944563","","0.0007159846642621955","29","0.6692156083867762","0.479390797289935","0.7399572000293448","0.4264005636796355"
"11/06-19:48:33 - Trial_105","finished","-","","","2024-11-07T03:07:18.000Z","66","","false","160","38","512","0.05312031442624771","1.936350471732041","SGD","0.32681544130412665","","0.00041594874568338946","38","0.6743503341282003","0.539549462000529","0.8356761730067209","0.2513994230164422"
"11/06-19:48:33 - Trial_104","finished","-","","","2024-11-07T03:06:07.000Z","65","","false","192","35","448","0.03648152603341153","1.0745188600616062","RMSprop","0.4763704130820908","","0.003280372507290752","35","0.3032833682811884","2.24266268656804","0.3082580125846562","2.166912961650539"
"11/06-19:48:33 - Trial_103","finished","-","","","2024-11-07T03:04:56.000Z","65","","false","224","31","512","0.01966781072759326","2.2494710369755695","Adadelta","0.5275309322806013","","0.002005962980051974","31","0.6183651011633544","0.4360638125376268","0.6489703309203668","0.4144908534362912"
"11/06-19:48:33 - Trial_102","finished","-","","","2024-11-07T03:03:43.000Z","67","","false","192","43","512","0.06611174117407512","2.1632585003779137","SGD","0.4414510482116057","","0.006158738741458492","43","0.5963187948550609","0.5194965325869046","0.7004441207239868","0.3481579527661607"
"11/06-19:48:33 - Trial_101","finished","-","","","2024-11-07T03:02:33.000Z","64","","false","192","40","512","0.08234857796713141","2.0820890847264897","SGD","0.40654086727259753","","0.004082769654016046","40","0.6190328238021996","0.5801155016972468","0.7513631133976395","0.35173963050584534"
"11/06-19:48:33 - Trial_100","finished","-","","","2024-11-07T03:01:16.000Z","71","","false","160","34","448","0.04828587806963116","2.149588876531746","Adadelta","0.2975346096889199","","0.00027538791071240917","34","0.7097026525184353","0.4427400608857473","0.8439659626330827","0.27871148818069036"
"11/06-19:48:33 - Trial_99","finished","-","","","2024-11-07T03:00:07.000Z","63","","false","128","26","384","0.03181580900930684","2.3057645255330317","Nadam","0.14494864862371637","","0.0010408301123653906","26","0.6040910276959779","0.4540789848879764","0.6435419794418196","0.4431248967136656"
"11/06-19:48:33 - Trial_98","finished","-","","","2024-11-07T02:58:57.000Z","63","","false","160","33","320","0.01460296651966947","1.3324199435748798","Adadelta","0.2736417581611356","","0.00016165249431744866","33","0.6314902279080161","0.5818250934282939","0.6673165799750336","0.540496646033393"
"11/06-19:48:33 - Trial_97","finished","-","","","2024-11-07T02:57:48.000Z","62","","false","160","31","320","0.05874836338709624","2.758174884420687","Adadelta","0.31186392785762984","","0.0011848732452654283","31","0.6964337227944686","0.4398448328177134","0.8153092556044335","0.28570804231696656"
"11/06-19:48:33 - Trial_96","finished","-","","","2024-11-07T02:56:38.000Z","64","","true","128","28","384","0.024175427363852975","2.3870575981351565","Adadelta","0.8277044545329291","","0.000797577128116028","28","0.6157164367139212","0.48841604433561625","0.6057854185832823","0.4021754903452737"
"11/06-19:48:33 - Trial_95","finished","-","","","2024-11-07T02:55:35.000Z","57","","false","160","24","256","0.044285111688971944","2.503298048684164","Adadelta","0.22299811886465024","","0.000367107359664125","24","0.6789098359219564","0.4273728231589","0.7385823085977834","0.3505830685297648"
"11/06-19:48:33 - Trial_94","finished","-","","","2024-11-07T02:54:36.000Z","52","","false","160","14","384","0.03586485478484774","2.605510263617514","Adadelta","0.26403414719960405","","0.0006087280795124179","14","0.6645445760431994","0.44308796922365823","0.7009825165328116","0.4133930332130856"
"11/06-19:48:33 - Trial_93","finished","-","","","2024-11-07T02:53:30.000Z","60","","false","128","22","384","0.0004270246261280069","2.2088252014711425","Adadelta","0.2008216130696005","","0.0005156681301193817","22","0.2004296489290691","0.59542683551186","0.1956623496745932","0.5915527194738388"
"11/06-19:48:33 - Trial_92","finished","-","","","2024-11-07T02:52:24.000Z","60","","false","160","24","384","0.04845513865621769","2.191867216366139","Adadelta","0.2697006774836787","","0.0005996759054919398","24","0.737036364394732","0.4382455050945282","0.7919192329040111","0.33127958046065437"
"11/06-19:48:33 - Trial_91","finished","-","","","2024-11-07T02:51:13.000Z","65","","false","160","34","384","0.033661328759832146","2.2433898249825015","Adadelta","0.31232088032725897","","0.0007584759666550413","34","0.7189282098906327","0.42279073198636374","0.7917245825926589","0.3296160678068797"
"11/06-19:48:33 - Trial_90","finished","-","","","2024-11-07T02:50:01.000Z","66","","false","224","38","448","0.02797355951757972","1.1901478701865869","Adam","0.5678182562258788","","0.00788215590977741","38","0.4346966418420201","0.7369222749363292","0.45552099972220295","0.7208891659975052"
"11/06-19:48:33 - Trial_89","finished","-","","","2024-11-07T02:48:51.000Z","63","","false","256","41","512","0.021080614465824536","1.383155947338876","SGD","0.498818082992764","","0.005303611872146127","41","0.6956362226456156","0.6244342029094696","0.7948623235397883","0.4367463652576719"
"11/06-19:48:33 - Trial_88","finished","-","","","2024-11-07T02:47:40.000Z","64","","false","192","36","320","0.07487266344816876","1.0906418334469588","Adadelta","0.7097129343084545","","0.0006678058752094826","36","0.7013672512818716","0.6888163319000831","0.9190013061459008","0.2700707811761547"
