"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","threshold","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/07-22:54:51 - Trial_100","finished","-","","","2024-11-08T04:45:03.000Z","28","","false","128","20","256","0.02857678562385914","","Adadelta","5","0.3650271127027354","0.0004196740272884231","20","0.7617834394904459","0.6895438851433042","0.6813958165728077","0.7021262714599328","0.44327429564375626","0.8059997169944814","0.7488118162075935","0.7405878855461915","0.7595880454923007","0.4042029822511332"
"11/07-22:54:51 - Trial_99","finished","-","","","2024-11-08T04:44:35.000Z","26","","false","128","33","256","0.021246857084863388","","Adagrad","4","0.25804851609489754","0.00011473816196239528","14","0.7660297239915075","0.7093455484188893","0.697472283152036","0.7363997594441015","0.5899678233422732","0.9848592047544928","0.9799830025906424","0.970971242539338","0.9899643594072408","0.06529379369957107"
"11/07-22:54:51 - Trial_98","finished","-","","","2024-11-08T04:44:09.000Z","25","","false","128","24","256","0.0765174812860888","","Adagrad","4","0.3235390529593377","0.0001507360322041628","12","0.7643312101910829","0.6918746276693177","0.681602462148961","0.7102058184106642","0.5947652067008772","0.9847177019951888","0.9799323157772516","0.9717872510198996","0.9888764018228142","0.096508058719337"
"11/07-22:54:51 - Trial_97","finished","-","","","2024-11-08T04:43:41.000Z","26","","false","128","25","256","0.06238427067852999","","Adagrad","2","0.19021132604826804","0.00009047616554792982","13","0.7520169851380043","0.6962594943753722","0.6850930312293257","0.7322431218416621","0.6628202686184331","0.9834441771614546","0.9782560622371136","0.9688046874114205","0.9888058787178592","0.06298967603860157"
"11/07-22:54:51 - Trial_96","finished","-","","","2024-11-08T04:43:15.000Z","24","","false","128","22","256","0.07949665644489337","","Adagrad","3","0.2837101842835114","0.00019828442525627528","11","0.7634819532908705","0.7112001463665624","0.7008548350056092","0.7321810542398777","0.5691383543767428","0.964907315692656","0.9540351937291632","0.937597604388992","0.9744782970614212","0.133427392957466"
"11/07-22:54:51 - Trial_95","finished","-","","","2024-11-08T04:42:48.000Z","25","","false","128","25","256","0.06939004963385248","","Adagrad","4","0.321916533208197","0.00014153709048334037","12","0.7774946921443737","0.7210966825055869","0.7100542896103321","0.7408441904034093","0.5514902331327137","0.9818876468091128","0.9759519566577152","0.9663610125073954","0.9866494262355842","0.11059797887823412"
"11/07-22:54:51 - Trial_94","finished","-","","","2024-11-08T04:42:19.000Z","27","","false","160","23","256","0.041668008136961","","Adagrad","2","0.391765028199467","0.000048931238034974384","17","0.7715498938428875","0.6954860436811534","0.6912349100474424","0.7005485627812764","0.8015835404396057","0.999292486203481","0.9990441755368178","0.9985590778097982","0.9995315720442196","0.03190476484596729"
"11/07-22:54:51 - Trial_93","finished","-","","","2024-11-08T04:41:52.000Z","25","","false","160","26","256","0.057000553765722245","","Adagrad","5","0.35261150421873405","0.00016477396519457498","15","0.7749469214437368","0.7093177613450263","0.7035423311419211","0.7166952519547717","0.5864417314529419","0.991226828923164","0.9881639065305357","0.98335394510351","0.9932178698254566","0.09261375433868832"
"11/07-22:54:51 - Trial_92","finished","-","","","2024-11-08T04:41:25.000Z","25","","false","160","26","256","0.06874631822308555","","Adagrad","3","0.33018643844781026","0.00014341592983345652","13","0.780891719745223","0.7242949348570267","0.7161905400766984","0.7359280463642898","0.5559081574281056","0.9847177019951888","0.9794539399088392","0.9713244852854958","0.9883312178900712","0.11557761546638276"
"11/07-22:54:51 - Trial_91","finished","-","","","2024-11-08T04:40:58.000Z","25","","false","160","29","512","0.0522500453213938","","Adagrad","3","0.30900742574131396","0.00008367527356455487","12","0.7660297239915075","0.704589521938173","0.6953484139948631","0.7200072850898495","0.5996349434057872","0.9893872930522144","0.9857674702842152","0.9797334003650684","0.9921991011125424","0.07201868792374928"
