"Name","State","Notes","User","Tags","Created","Runtime","Sweep","balanced","batch_size","epochs","hidden_layer","learning_rate","minority_weight","optimizer","remove_frequency","weight_decay","Epoch","Test Accuracy","Test F1-score","Test Precision","Test Recall","Test loss","Train Accuracy","Train F1-score","Train Precision","Train Recall","Train loss"
"11/08-00:21:35 - Trial_167","running","-","","","2024-11-08T06:42:18.000Z","15","","true","96","32","448","0.000011726744238661797","1.1465474535466411","RMSprop","9","0.000023095028031536753","","","","","","","","","","",""
"11/08-00:21:35 - Trial_166","finished","-","","","2024-11-08T06:41:48.000Z","28","","true","96","31","448","0.00001213162720235557","1.2787118087537388","RMSprop","5","0.0000180888826341301","31","0.7974522292993631","0.7343181522004691","0.7349604516987082","0.7336879914406536","0.5907942128181457","0.8587802462148012","0.8117247546742694","0.8036169339546675","0.821309142888559","0.4609561405471853"
"11/08-00:21:35 - Trial_165","finished","-","","","2024-11-08T06:41:20.000Z","26","","true","96","27","448","0.00001674049216488113","1.3604203142399869","RMSprop","6","0.000017136218585552334","27","0.7881104033970276","0.7220644820713504","0.7207663963796207","0.7234197467178587","0.5798938608169556","0.8621763124380926","0.8149896970084016","0.8093816308836013","0.8212416839290215","0.4550147483477721"
"11/08-00:21:35 - Trial_164","finished","-","","","2024-11-08T06:40:53.000Z","25","","true","96","24","448","0.000013251390411185987","1.4191482283525505","RMSprop","8","0.000014077454338631829","24","0.7957537154989385","0.7097361410029106","0.7149023385847595","0.7052379644681956","0.5609844362735749","0.8476015282298005","0.7951495682391625","0.7949794169166478","0.7953203016337272","0.484633165436822"
"11/08-00:21:35 - Trial_163","finished","-","","","2024-11-08T06:40:25.000Z","27","","true","96","28","448","0.000010124645410229416","1.2223463595799031","RMSprop","5","0.00001121108326804002","28","0.7507430997876858","0.4671865611152202","0.7230307603852235","0.517662979033424","0.7355897188186645","0.7772746568558087","0.5154119913233435","0.8134101649946107","0.5414801451570248","0.7009095001865078"
"11/08-00:21:35 - Trial_162","finished","-","","","2024-11-08T06:39:57.000Z","26","","true","96","27","448","0.000012372108310790503","1.3378259013842289","RMSprop","5","0.000015224654915842993","27","0.802547770700637","0.7317258401367002","0.73051039763877","0.7329835194716142","0.5761306011676788","0.8518466110089147","0.8037698555036354","0.7979947457389478","0.8103005953638087","0.4751959265889349"
"11/08-00:21:35 - Trial_161","finished","-","","","2024-11-08T06:39:28.000Z","27","","true","96","26","448","0.00001192379207801124","1.3218764353483736","RMSprop","5","0.000015228373220605453","26","0.8046709129511678","0.7338198437269645","0.7346670336043938","0.7329916383145004","0.5714157247543334","0.8517051082496109","0.8025154415301701","0.7976490131530636","0.8079022132512927","0.4896326419469473"
"11/08-00:21:35 - Trial_160","finished","-","","","2024-11-08T06:39:08.000Z","18","","true","96","30","448","0.000010080144400711706","1.1708929599369249","Adagrad","5","0.000012763111909122253","12","0.7371549893842887","0.46077925479086007","0.5194164294020933","0.5037581474229985","0.8369906616210937","0.7385029008065658","0.4645304218247683","0.5182653898905764","0.5039723164180079","0.8302476502753593"
"11/08-00:21:35 - Trial_159","finished","-","","","2024-11-08T06:38:39.000Z","27","","true","96","29","448","0.000010345079683446971","1.2865526592154863","RMSprop","5","0.00001232002985608647","29","0.8","0.7335594656704737","0.7344954921409099","0.7326480141951217","0.5963799285888672","0.8477430309891043","0.7965485592366158","0.7906389915349739","0.803261246460101","0.5021951154277131"
"11/08-00:21:35 - Trial_158","finished","-","","","2024-11-08T06:38:13.000Z","24","","true","96","22","448","0.00001559555188580697","1.3674360899471","RMSprop","5","0.000010024388647780251","22","0.7906581740976646","0.7207985107522447","0.7214301286664339","0.7201791037904164","0.5726693058013916","0.8583557379368898","0.8096051233123507","0.8052098214172034","0.8143950174435379","0.4637423491961247"
